time,datapoint,units
1,-9.81,mm
2,48.39,mm
3,227.99,mm
4,601.59,mm
5,1241.79,mm
6,2221.19,mm
7,3612.39,mm
8,5487.99,mm
9,7920.59,mm
10,10982.79,mm
11,14747.19,mm
12,19286.39,mm
13,24672.99,mm
14,30979.59,mm
15,38278.79,mm
16,46643.19,mm
17,56145.39,mm
18,66857.99,mm
19,78853.59,mm
20,92204.79,mm
21,106984.19,mm
22,123264.39,mm
23,141117.99,mm
24,160617.59,mm
25,181835.79,mm
26,204845.19,mm
27,229718.39,mm
28,256527.99,mm
29,285346.59,mm
30,316246.79,mm
31,349301.19,mm
32,384582.39,mm
33,422162.99,mm
34,462115.59,mm
35,504512.79,mm
36,549427.19,mm
37,596931.39,mm
38,647097.99,mm
39,699999.59,mm
40,755708.79,mm
41,814298.19,mm
42,875840.39,mm
43,940407.99,mm
44,1008073.59,mm
45,1078909.79,mm
46,1152989.19,mm
47,1230384.39,mm
48,1311167.99,mm
49,1395412.59,mm
50,1483190.79,mm
51,1574575.19,mm
52,1669638.39,mm
53,1768452.99,mm
54,1871091.59,mm
55,1977626.79,mm
56,2088131.19,mm
57,2202677.39,mm
58,2321337.99,mm
59,2444185.59,mm
60,2571292.79,mm
61,2702732.19,mm
62,2838576.39,mm
63,2978897.99,mm
64,3123769.59,mm
65,3273263.79,mm
66,3427453.19,mm
67,3586410.39,mm
68,3750207.99,mm
69,3918918.59,mm
70,4092614.79,mm
71,4271369.19,mm
72,4455254.39,mm
73,4644342.99,mm
74,4838707.59,mm
75,5038420.79,mm
76,5243555.19,mm
77,5454183.39,mm
78,5670377.99,mm
79,5892211.59,mm
80,6119756.79,mm
81,6353086.19,mm
82,6592272.39,mm
83,6837387.99,mm
84,7088505.59,mm
85,7345697.79,mm
86,7609037.19,mm
87,7878596.39,mm
88,8154447.99,mm
89,8436664.59,mm
90,8725318.79,mm
91,9020483.19,mm
92,9322230.39,mm
93,9630632.99,mm
94,9945763.59,mm
95,10267694.79,mm
96,10596499.19,mm
97,10932249.39,mm
98,11275017.99,mm
99,11624877.59,mm
100,11981900.79,mm
101,12346160.19,mm
102,12717728.39,mm
103,13096677.99,mm
104,13483081.59,mm
105,13877011.79,mm
106,14278541.19,mm
107,14687742.39,mm
108,15104687.99,mm
109,15529450.59,mm
110,15962102.79,mm
111,16402717.19,mm
112,16851366.39,mm
113,17308122.99,mm
114,17773059.59,mm
115,18246248.79,mm
116,18727763.19,mm
117,19217675.39,mm
118,19716057.99,mm
119,20222983.59,mm
120,20738524.79,mm
121,21262754.19,mm
122,21795744.39,mm
123,22337567.99,mm
124,22888297.59,mm
125,23448005.79,mm
126,24016765.19,mm
127,24594648.39,mm
128,25181727.99,mm
129,25778076.59,mm
130,26383766.79,mm
131,26998871.19,mm
132,27623462.39,mm
133,28257612.99,mm
134,28901395.59,mm
135,29554882.79,mm
136,30218147.19,mm
137,30891261.39,mm
138,31574297.99,mm
139,32267329.59,mm
140,32970428.79,mm
141,33683668.19,mm
142,34407120.39,mm
143,35140857.99,mm
144,35884953.59,mm
145,36639479.79,mm
146,37404509.19,mm
147,38180114.39,mm
148,38966367.99,mm
149,39763342.59,mm
150,40571110.79,mm
151,41389745.19,mm
152,42219318.39,mm
153,43059902.99,mm
154,43911571.59,mm
155,44774396.79,mm
156,45648451.19,mm
157,46533807.39,mm
158,47430537.99,mm
159,48338715.59,mm
160,49258412.79,mm
161,50189702.19,mm
162,51132656.39,mm
163,52087347.99,mm
164,53053849.59,mm
165,54032233.79,mm
166,55022573.19,mm
167,56024940.39,mm
168,57039407.99,mm
169,58066048.59,mm
170,59104934.79,mm
