time,datapoint,units
1,5.880000000000001,mm
2,66.67999999999999,mm
3,451.47999999999996,mm
4,1922.28,mm
5,5961.08,mm
6,15009.88,mm
7,32710.68,mm
8,64145.48,mm
9,116076.28,mm
10,197185.08,mm
11,318313.88,mm
12,492704.68,mm
13,736239.48,mm
14,1067680.28,mm
15,1508909.08,mm
16,2085167.8800000001,mm
17,2825298.68,mm
18,3761983.48,mm
19,4931984.28,mm
20,6376383.08,mm
21,8140821.88,mm
22,10275742.68,mm
23,12836627.48,mm
24,15884238.28,mm
25,19484857.08,mm
26,23710525.88,mm
27,28639286.68,mm
28,34355421.48,mm
29,40949692.28,mm
30,48519581.08,mm
31,57169529.879999995,mm
32,67011180.68,mm
33,78163615.48,mm
34,90753596.28,mm
35,104915805.08,mm
36,120793083.88,mm
37,138536674.68,mm
38,158306459.48000002,mm
39,180271200.28,mm
40,204608779.08,mm
41,231506437.88000003,mm
42,261161018.68,mm
43,293779203.47999996,mm
44,329577754.28,mm
45,368783753.08,mm
46,411634841.88,mm
47,458379462.68,mm
48,509277097.47999996,mm
49,564598508.2800001,mm
50,624625977.08,mm
51,689653545.88,mm
52,759987256.6800001,mm
53,835945391.48,mm
54,917858712.2800001,mm
55,1006070701.08,mm
56,1100937799.8799999,mm
57,1202829650.6799998,mm
58,1312129335.48,mm
59,1429233616.28,mm
60,1554553175.08,mm
61,1688512853.8799999,mm
62,1831551894.6799998,mm
63,1984124179.48,mm
64,2146698470.28,mm
65,2319758649.08,mm
66,2503803957.88,mm
67,2699349238.68,mm
68,2906925173.48,mm
69,3127078524.2799997,mm
70,3360372373.08,mm
71,3607386361.88,mm
72,3868716932.68,mm
73,4144977567.48,mm
74,4436799028.28,mm
75,4744829597.08,mm
76,5069735315.88,mm
77,5412200226.68,mm
78,5772926611.48,mm
79,6152635232.28,mm
80,6552065571.08,mm
81,6971976069.88,mm
82,7413144370.68,mm
83,7876367555.48,mm
84,8362462386.28,mm
85,8872265545.08,mm
86,9406633873.88,mm
87,9966444614.68,mm
88,10552595649.48,mm
89,11166005740.28,mm
90,11807614769.08,mm
91,12478383977.88,mm
92,13179296208.68,mm
93,13911356143.48,mm
94,14675590544.28,mm
95,15473048493.08,mm
96,16304801631.88,mm
97,17171944402.68,mm
98,18075594287.480003,mm
99,19016892048.280003,mm
100,19997001967.08,mm
